path,format,rows,columns,column_names,unlabelled_columns,inspection,status
01_raw_source/real_sdtm/cd.sas7bdat,sas7bdat,3339,14,STUDYID|DOMAIN|USUBJID|CDSEQ|CDTESTCD|CDTEST|CDCAT|CDORRES|CDSTRESC|CDSTAT|VISITNUM|VISIT|CDDTC|SUBJID,,metadata + first/last 5-record readability sample (values not reproduced),READABLE
01_raw_source/real_sdtm/cm.sas7bdat,sas7bdat,24534,18,STUDYID|DOMAIN|USUBJID|CMSEQ|CMTRT|CMDECOD|CMCAT|CMINDC|CMDOSE|CMDOSU|CMDOSRGM|VISITNUM|VISIT|CMSTDTC|CMSTDY|CMENDTC|CMENDY|SUBJID,,metadata + first/last 5-record readability sample (values not reproduced),READABLE
01_raw_source/real_sdtm/cx.sas7bdat,sas7bdat,2516,21,STUDYID|DOMAIN|USUBJID|CXSEQ|CXTESTCD|CXTEST|CXCAT|CXORRES|CXORRESU|CXORNRLO|CXSTRESC|CXSTRESN|CXSTRESU|CXSTNRLO|CXSTAT|CXMETHOD|CXBLFL|VISITNUM|VISIT|CXDTC|SUBJID,,metadata + first/last 5-record readability sample (values not reproduced),READABLE
01_raw_source/real_sdtm/dm.sas7bdat,sas7bdat,371,12,AGEGRP|STUDYID|DOMAIN|USUBJID|SUBJID|RFSTDTC|RFENDTC|AGEU|SEX|RACE|ARM|ARMCD,,metadata + first/last 5-record readability sample (values not reproduced),READABLE
01_raw_source/real_sdtm/ds.sas7bdat,sas7bdat,2842,14,DSSTWKF|USUBJID|STUDYID|DOMAIN|DSSEQ|DSTERM|DSDECOD|DSCAT|DSSCAT|EPOCH|VISITNUM|VISIT|DSSTWK|SUBJID,,metadata + first/last 5-record readability sample (values not reproduced),READABLE
01_raw_source/real_sdtm/eg.sas7bdat,sas7bdat,558,15,STUDYID|DOMAIN|USUBJID|EGSEQ|EGTESTCD|EGTEST|EGORRES|EGSTRESC|EGBLFL|EGEVAL|VISITNUM|VISIT|EGDTC|EGDY|SUBJID,,metadata + first/last 5-record readability sample (values not reproduced),READABLE
01_raw_source/real_sdtm/ex.sas7bdat,sas7bdat,3485,16,STUDYID|DOMAIN|USUBJID|EXSEQ|EXTRT|EXLOT|EXDOSE|EXDOSU|EXDOSFRM|EXROUTE|VISITNUM|VISIT|EXSTDTC|EXSTDY|EXENDTC|SUBJID,,metadata + first/last 5-record readability sample (values not reproduced),READABLE
01_raw_source/real_sdtm/ie.sas7bdat,sas7bdat,42,13,STUDYID|DOMAIN|USUBJID|IESEQ|IESPID|IETESTCD|IETEST|IECAT|IEORRES|IESTRESC|VISITNUM|VISIT|SUBJID,,metadata + first/last 5-record readability sample (values not reproduced),READABLE
01_raw_source/real_sdtm/lb.sas7bdat,sas7bdat,80788,27,STUDYID|DOMAIN|USUBJID|LBSEQ|LBTESTCD|LBTEST|LBCAT|LBSCAT|LBORRES|LBORRESU|LBORNRLO|LBORNRHI|LBSTRESC|LBSTRESN|LBSTRESU|LBSTNRLO|LBSTNRHI|LBNRIND|LBSTAT|LBTOX|LBTOXGR|LBBLFL|VISITNUM|VISIT|LBDTC|LBDY|SUBJID,,metadata + first/last 5-record readability sample (values not reproduced),READABLE
01_raw_source/real_sdtm/ls.sas7bdat,sas7bdat,5774,21,STUDYID|DOMAIN|USUBJID|LSSEQ|LSSPID|LSTESTCD|LSTEST|LSCAT|LSLOC|LSORRES|LSORRESU|LSSTRESC|LSSTRESN|LSSTRESU|LSMETHOD|LSSTAT|LSBLFL|VISITNUM|VISIT|LSDTC|SUBJID,,metadata + first/last 5-record readability sample (values not reproduced),READABLE
01_raw_source/real_sdtm/mh.sas7bdat,sas7bdat,2292,13,STUDYID|DOMAIN|USUBJID|MHSEQ|MHSPID|MHTERM|MHCAT|MHDECOD|MHBODSYS|VISITNUM|VISIT|MHSTDTC|SUBJID,,metadata + first/last 5-record readability sample (values not reproduced),READABLE
01_raw_source/real_sdtm/pe.sas7bdat,sas7bdat,3614,17,STUDYID|DOMAIN|USUBJID|PESEQ|PETESTCD|PETEST|PEORRES|PESTRESC|PESTRESN|PESTRESU|PEMETHOD|PEBLFL|VISITNUM|VISIT|PEDTC|PEDY|SUBJID,,metadata + first/last 5-record readability sample (values not reproduced),READABLE
01_raw_source/real_sdtm/pn.sas7bdat,sas7bdat,26982,18,STUDYID|DOMAIN|USUBJID|PNSEQ|PNSPID|PNTESTCD|PNTEST|PNCAT|PNORRES|PNORRESU|PNSTRESC|PNSTRESN|PNSTRESU|PNSTAT|VISITNUM|VISIT|PNDTC|SUBJID,,metadata + first/last 5-record readability sample (values not reproduced),READABLE
