"time","surv"
0,1
0.6,0.987670765287877
0.800000000000001,0.980204903220449
1,0.977040020190821
1.2,0.974131558676208
1.4,0.971078459324149
1.6,0.968926607472264
1.8,0.968496490717421
2,0.966489377915622
2.2,0.966489377915622
2.4,0.966265986196729
2.6,0.961505488397295
2.8,0.958490164991651
3,0.952372496814755
3.2,0.94650646720648
3.4,0.94650646720648
3.6,0.938764709109947
3.8,0.933111393087462
4,0.922672459520114
4.2,0.917231783914493
4.4,0.915086490919732
4.6,0.910708539768024
4.8,0.903656879539873
5,0.896996304870851
5.2,0.886198099720442
5.4,0.883770203970309
5.6,0.876795001700052
5.8,0.861306279269354
6,0.855073988839456
6.2,0.847648406405722
6.4,0.844247364709513
6.6,0.836593083551585
6.8,0.833047646107746
7,0.828993035350682
7.2,0.82084173076886
7.4,0.81585360854898
7.60000000000001,0.811016154160639
7.80000000000001,0.798803408770066
8,0.794956239422065
8.2,0.782011344090624
8.40000000000001,0.775258913142833
8.6,0.768478067727603
8.8,0.76419814530451
9,0.759950530226081
9.2,0.75734880426444
9.4,0.738062193844027
9.6,0.731988964346422
9.8,0.727046210070868
10,0.72421460527444
10.2,0.713022978702372
10.4,0.708669733819584
10.6,0.699330709940519
10.8,0.698571194506877
11,0.693203401558803
11.2,0.674352230582424
11.4,0.667972130373814
11.6,0.659072436388691
11.8,0.649278282814068
12,0.641687009161039
12.2,0.633759527041494
12.4,0.626856163001016
12.6,0.616488123589855
12.8,0.608728335085457
13,0.605660494740846
13.2,0.595689814061826
13.4,0.58836977771297
13.6,0.584383680224588
13.8,0.574392566127587
14,0.559697415546283
14.2,0.543890667257431
14.4,0.525524129940115
14.6,0.517107429086374
14.8,0.511356625881667
15,0.505948642165647
15.2,0.495137905446788
15.4,0.480814612930994
15.6,0.470071724440608
15.8,0.460675401176125
16,0.460675401176125
16.2,0.450404197825256
16.4,0.446933345743467
16.6,0.438234415144551
16.8,0.422506564167782
17,0.420050014685619
17.2,0.413817326498694
17.4,0.403650586757175
17.6,0.401689882676988
17.8,0.397424698714748
18,0.392450867381246
18.2,0.386813847194128
18.4,0.375400859724847
18.6,0.372560748219561
18.8,0.365454731585513
19,0.364448562197668
19.2,0.356608259953511
19.4,0.356608259953511
19.6,0.356052619769552
19.8,0.352081388672396
20,0.351359269388446
20.2,0.345890545374947
20.4,0.339224322233542
20.6,0.330794732348096
20.8,0.328302372175612
21,0.325881716431827
21.2,0.325431871387692
21.4,0.325401378697377
21.6,0.325398890082127
21.8,0.325375893478955
22,0.320970046511598
22.2,0.320625394613977
22.4,0.320625394613977
22.6,0.315443115491739
22.8,0.308553556053532
23,0.300333539355365
23.1999999999999,0.298714538521387
23.4,0.295664982600811
23.5999999999999,0.291489018566868
23.7999999999999,0.291416269099396
23.9999999999999,0.288330531272372
24.1999999999999,0.288330531272372
24.3999999999999,0.288330531272372
24.5999999999999,0.288330531272372
24.7999999999999,0.288330531272372
24.9999999999999,0.288330531272372
25.1999999999999,0.264490566444173
25.3999999999999,0.264490566444173
25.5999999999999,0.264490566444173
25.7999999999999,0.264490566444173
25.9999999999999,0.264490566444173
26.2,0.263464252160465
26.3999999999999,0.263346646026917
26.5999999999999,0.26158004140864
26.7999999999999,0.26158004140864
26.9999999999999,0.259861050355738
27.1999999999999,0.259861050355738
27.3999999999999,0.259861050355738
27.5999999999999,0.259861050355738
27.7999999999999,0.259861050355738
27.9999999999999,0.259861050355738
28.1999999999999,0.259861050355738
28.3999999999999,0.259861050355738
28.5999999999999,0.233722335824411
28.7999999999999,0.204139885085073
28.9999999999999,0.203983782306683
29.1999999999999,0.203983782306683
29.3999999999999,0.203955108880459
29.5999999999999,0.203955108880459
29.7999999999999,0.170887999337731
29.9999999999999,0.170887999337731
